"filename", "language", "C++", "JSON", "YAML", "Markdown", "Swift", "HTML", "XML", "Dart", "Properties", "Groovy", "comment", "blank", "total"
"e:\Projects\cinemax\lib\bloc\profile\profile_bloc.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 3, 45
"e:\Projects\cinemax\lib\bloc\profile\profile_event.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 9, 27
"e:\Projects\cinemax\lib\bloc\profile\profile_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 7, 17
"e:\Projects\cinemax\lib\bloc\search\search_bloc.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 2, 60
"e:\Projects\cinemax\lib\bloc\search\search_event.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 5, 12
"e:\Projects\cinemax\lib\bloc\search\search_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 9, 26
"e:\Projects\cinemax\lib\bloc\series\series_bloc.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 2, 67
"e:\Projects\cinemax\lib\bloc\series\series_event.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 10, 31
"e:\Projects\cinemax\lib\bloc\series\series_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 6, 27
"e:\Projects\cinemax\lib\bloc\splash\splash_bloc.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 2, 29
"e:\Projects\cinemax\lib\bloc\splash\splash_event.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 4
"e:\Projects\cinemax\lib\bloc\splash\splash_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5, 10
"e:\Projects\cinemax\lib\bloc\upcomings\upcomingDetail\updetail_bloc.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 4, 44
"e:\Projects\cinemax\lib\bloc\upcomings\upcomingDetail\updetail_event.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 8, 23
"e:\Projects\cinemax\lib\bloc\upcomings\upcomingDetail\updetail_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 6, 18
"e:\Projects\cinemax\lib\bloc\upcomings\upcomings_bloc.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 2, 18
"e:\Projects\cinemax\lib\bloc\upcomings\upcomings_event.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 4
"e:\Projects\cinemax\lib\bloc\upcomings\upcomings_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 6, 15
"e:\Projects\cinemax\lib\bloc\video\video_bloc.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 2, 25
"e:\Projects\cinemax\lib\bloc\video\video_event.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 5, 14
"e:\Projects\cinemax\lib\bloc\video\video_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 6, 15
"e:\Projects\cinemax\lib\bloc\wishlist\wishlist_bloc.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 2, 43
"e:\Projects\cinemax\lib\bloc\wishlist\wishlist_event.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 4, 10
"e:\Projects\cinemax\lib\bloc\wishlist\wishlist_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 7, 17
"e:\Projects\cinemax\lib\constants\color_constants.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 4, 23
"e:\Projects\cinemax\lib\constants\string_constants.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 6, 45
"e:\Projects\cinemax\lib\data\datasource\authentication.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 133, 0, 0, 0, 11, 144
"e:\Projects\cinemax\lib\data\datasource\banner_datasource.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"e:\Projects\cinemax\lib\data\datasource\category_datasource.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 5, 29
"e:\Projects\cinemax\lib\data\datasource\comments_datasource.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 219, 0, 0, 0, 22, 241
"e:\Projects\cinemax\lib\data\datasource\movie_datasource.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 194, 0, 0, 0, 13, 207
